pm2_5,city,co,pm10,level,o3,source,so2,crawl_time,date,aqi,no2
33,上海,0.6,61,良,66,aqi_redis_spider,20,2018-05-12 08:19:42.100000,2015-01-07,55,38
69,上海,1.1,92,良,54,aqi_redis_spider,41,2018-05-12 08:19:42.102000,2015-01-08,93,66
147,上海,1.9,199,中度污染,45,aqi_redis_spider,56,2018-05-12 08:19:42.105000,2015-01-09,196,122
189,上海,2.2,247,重度污染,57,aqi_redis_spider,66,2018-05-12 08:19:42.109000,2015-01-10,239,138
72,上海,1.2,91,良,60,aqi_redis_spider,33,2018-05-12 08:19:42.111000,2015-02-06,97,84
109,上海,1.4,122,轻度污染,73,aqi_redis_spider,33,2018-05-12 08:19:42.114000,2015-02-07,142,96
50,上海,0.8,64,良,77,aqi_redis_spider,20,2018-05-12 08:19:42.116000,2015-02-08,68,31
26,上海,0.7,36,优,71,aqi_redis_spider,17,2018-05-12 08:19:42.118000,2015-02-09,37,37
58,上海,0.9,61,良,80,aqi_redis_spider,21,2018-05-12 08:19:42.122000,2015-02-10,78,68
25,上海,0.7,36,优,73,aqi_redis_spider,13,2018-05-12 08:19:42.125000,2015-03-06,37,35
30,上海,0.7,38,优,94,aqi_redis_spider,14,2018-05-12 08:19:42.127000,2015-03-07,47,40
25,上海,0.7,27,优,79,aqi_redis_spider,11,2018-05-12 08:19:42.129000,2015-03-08,40,48
40,上海,0.8,47,良,81,aqi_redis_spider,11,2018-05-12 08:19:42.131000,2015-03-09,56,31
20,上海,0.7,45,优,87,aqi_redis_spider,12,2018-05-12 08:19:42.133000,2015-03-10,45,24
19,上海,0.6,23,优,91,aqi_redis_spider,8,2018-05-12 08:19:42.135000,2015-04-06,46,26
20,上海,0.5,39,优,87,aqi_redis_spider,9,2018-05-12 08:19:42.139000,2015-04-07,44,28
28,上海,0.4,41,良,105,aqi_redis_spider,12,2018-05-12 08:19:42.142000,2015-04-08,54,35
28,上海,0.5,46,良,114,aqi_redis_spider,12,2018-05-12 08:19:42.144000,2015-04-09,62,46
36,上海,0.7,77,良,140,aqi_redis_spider,14,2018-05-12 08:19:42.146000,2015-05-06,83,39
51,上海,0.7,68,良,152,aqi_redis_spider,12,2018-05-12 08:19:42.148000,2015-05-07,93,34
